id,x,y,z,yaw,pitch,roll
40,1709.19,1003.89,0.242783,-2.1976,-0.0230831,-0.00586695
41,1708.98,1003.59,0.215158,-2.19584,-0.0233995,-0.00374603
42,1708.62,1003.1,0.226825,-2.19278,-0.0254116,-0.00477554
43,1708.45,1002.88,0.249462,-2.1919,-0.0256652,-0.00481343
44,1708.27,1002.62,0.242832,-2.18903,-0.0250961,-0.00558597
45,1708.07,1002.35,0.233529,-2.18752,-0.0245786,-0.00852863
46,1707.9,1002.12,0.254005,-2.18494,-0.023062,-0.00850356
47,1707.75,1001.87,0.0608862,-2.18184,-0.0118767,-0.0103428
48,1707.6,1001.65,0.0521994,-2.17967,-0.0128687,-0.00807317
49,1707.46,1001.46,0.0617706,-2.17989,-0.0139157,-0.00880852
50,1707.26,1001.17,0.0659971,-2.17711,-0.0144197,-0.0069238
51,1707.13,1001,0.0765202,-2.1767,-0.0146115,-0.00714095
52,1706.99,1000.77,0.0446661,-2.17417,-0.0141946,-0.00483955
53,1706.8,1000.5,0.0459501,-2.17153,-0.0141428,-0.00495264
54,1706.65,1000.28,0.0390259,-2.16887,-0.0148077,-0.00421302
55,1706.5,1000.08,0.0281892,-2.16761,-0.0144712,-0.00442484
56,1706.33,999.815,0.0106314,-2.16462,-0.0138106,-0.00443567
57,1706.2,999.621,0.00167089,-2.1639,-0.0142253,-0.00337029
58,1706.02,999.363,-0.00687356,-2.16126,-0.014472,-0.00322712
59,1705.88,999.158,-2.35345e-05,-2.15989,-0.0140019,-0.00529626
60,1705.72,998.938,0.0112183,-2.1571,-0.0143442,-0.00638461
61,1705.57,998.698,-0.0112572,-2.15569,-0.0149397,-0.00487681
62,1705.42,998.474,-0.0116993,-2.15237,-0.0148572,-0.00470753
63,1705.27,998.262,-0.00204652,-2.15152,-0.0155212,-0.00540532
64,1705.12,998.047,0.0078543,-2.14916,-0.0126639,-0.0089926
65,1704.95,997.818,0.0313795,-2.14793,-0.0117362,-0.0119286
66,1704.79,997.566,0.0452715,-2.1451,-0.0119982,-0.0137188
67,1704.64,997.348,0.0307351,-2.14354,-0.0119506,-0.0132848
68,1704.48,997.105,0.0344037,-2.14113,-0.0126938,-0.0136209
69,1704.33,996.845,0.0178771,-2.13949,-0.0128273,-0.0113821
70,1704.2,996.618,-0.0225849,-2.13723,-0.0143436,-0.00879726
71,1704.04,996.373,-0.0104499,-2.13558,-0.014421,-0.0104005
72,1703.91,996.185,-0.00769036,-2.13607,-0.0148033,-0.00852647
73,1703.74,995.918,-0.00124117,-2.13278,-0.0154057,-0.00984371
74,1703.6,995.698,-0.00492672,-2.13108,-0.0161269,-0.0092519
75,1703.42,995.411,-0.00209432,-2.13059,-0.0170504,-0.00933211
76,1703.3,995.22,-0.000603255,-2.12932,-0.0174611,-0.00952343
77,1703.06,994.846,-0.00691507,-2.12782,-0.0177332,-0.00957937
78,1702.95,994.689,-0.0124102,-2.12772,-0.0174954,-0.00977756
79,1702.75,994.388,0.0583239,-2.12568,-0.0164786,-0.0137429
80,1702.63,994.191,0.0386182,-2.12579,-0.0160109,-0.0122783
81,1702.43,993.835,-0.0492169,-2.12515,-0.0184518,-0.00721823
82,1702.3,993.608,-0.0613002,-2.12506,-0.0177599,-0.00977655
83,1702.13,993.35,-0.0643229,-2.12562,-0.0189134,-0.00790088
84,1702,993.083,-0.0674743,-2.12418,-0.0190493,-0.00696704
85,1701.78,992.72,-0.127207,-2.12018,-0.0047737,-0.0137254
86,1701.67,992.532,-0.133201,-2.11973,-0.00513809,-0.0140703
87,1701.47,992.215,-0.137304,-2.12024,-0.00521407,-0.0143143
88,1701.34,992.022,-0.14159,-2.12064,-0.00505579,-0.0130194
89,1701.19,991.776,-0.141152,-2.12203,-0.00557408,-0.0121845
90,1701.05,991.526,-0.156645,-2.12149,-0.00460015,-0.0109469
91,1700.93,991.34,-0.133427,-2.12317,-0.00566814,-0.0138105
92,1700.61,990.825,-0.139263,-2.12425,-0.00508176,-0.0144118
93,1700.46,990.584,-0.138539,-2.12674,-0.00309972,-0.0140446
94,1700.36,990.398,-0.162123,-2.12843,-0.00502885,-0.0141588
95,1700.16,990.109,-0.134862,-2.13112,-0.00484677,-0.0143079
96,1699.95,989.759,-0.136511,-2.13211,-0.00656634,-0.0125557
97,1699.81,989.554,-0.133135,-2.13539,-0.00712492,-0.0125609
98,1699.59,989.185,-0.141051,-2.13515,-0.00713612,-0.012992
99,1699.41,988.902,-0.128118,-2.13718,-0.00765652,-0.0142671
100,1699.24,988.637,-0.0965092,-2.13917,-0.0116721,-0.00852948
101,1699.09,988.406,-0.10062,-2.14283,-0.0143606,-0.00573414
102,1699,988.238,-0.131463,-2.14413,-0.0147621,-0.00159281
103,1698.82,987.996,-0.111932,-2.1469,-0.0138516,-0.00584502
104,1698.68,987.817,-0.0663829,-2.14944,-0.0151579,-0.00880016
105,1698.51,987.503,-0.137935,-2.15072,-0.0133552,-0.000644815
106,1698.37,987.286,-0.105575,-2.15152,-0.0143323,-0.00093885
107,1698.14,986.96,-0.0152914,-2.15385,-0.0149495,-0.00726375
108,1698,986.764,-0.0331662,-2.15523,-0.0153261,-0.00494302
109,1697.76,986.401,-0.014787,-2.1576,-0.016632,-0.00521782
110,1697.64,986.202,-0.0454169,-2.15926,-0.0179031,-0.00225202
111,1697.51,985.99,-0.0602332,-2.16162,-0.0178322,-0.00160716
112,1697.28,985.601,-0.0879739,-2.16168,-0.016845,-0.00194447
113,1697.15,985.448,-0.0538006,-2.16399,-0.0173796,-0.00429568
114,1697.11,985.387,-0.0700725,-2.16515,-0.0174452,-0.00263277
115,1696.85,984.943,-0.0885658,-2.16724,-0.0160873,-4.03128e-05
116,1696.56,984.49,-0.0721058,-2.16856,-0.0151497,-0.00124336
117,1696.36,984.131,-0.04625,-2.17004,-0.0166484,-0.00373861
118,1696.21,983.895,-0.0432629,-2.17083,-0.0171817,-0.00455666
119,1696.07,983.643,-0.0852393,-2.17298,-0.0158451,-0.00157735
120,1695.84,983.285,-0.0841413,-2.17407,-0.0165284,-0.00115705
121,1695.63,983.068,-0.097945,-2.17796,-0.0178249,-0.00143603
122,1695.54,982.938,-0.0980323,-2.17995,-0.0180489,-0.00104167
123,1695.5,982.95,-0.0880305,-2.18289,-0.0184844,-0.00226774
124,1695.49,982.946,-0.0811194,-2.18367,-0.0190513,-0.00464167
125,1695.4,982.858,-0.0618318,-2.18614,-0.0192995,-0.00539838
126,1695.2,982.572,-0.0620302,-2.1874,-0.0187734,-0.0053764
127,1694.99,982.268,-0.0657074,-2.18898,-0.0192181,-0.00410713
128,1694.9,982.154,-0.0777913,-2.18904,-0.0183921,-0.0016252
129,1694.74,981.922,-0.0952014,-2.19072,-0.0185059,0.000724643
130,1694.54,981.633,-0.0714723,-2.19054,-0.0195097,-0.000356571
131,1694.5,981.627,-0.0773413,-2.19169,-0.0196498,0.000145903
132,1694.34,981.445,-0.0753641,-2.19343,-0.0190295,-0.000598246
133,1694.25,981.301,-0.0766443,-2.19416,-0.0195598,6.22705e-05
134,1694.03,981.01,-0.0842494,-2.19554,-0.0195199,-0.000984302
135,1693.9,980.831,-0.0788025,-2.19728,-0.0179798,-0.000452027
136,1693.81,980.73,-0.072903,-2.19854,-0.0188815,-0.00046969
137,1693.7,980.554,-0.0551456,-2.19783,-0.01885,-0.000850264
138,1693.56,980.374,-0.0662451,-2.19788,-0.0179133,-0.00331947
139,1693.41,980.214,-0.0503118,-2.19903,-0.0174857,-0.00530342
140,1693.2,979.906,-0.0491781,-2.1994,-0.0173579,-0.00480771
141,1693.06,979.735,-0.0431589,-2.19982,-0.0180896,-0.00409868
142,1692.88,979.44,-0.0382349,-2.20091,-0.0182884,-0.00353952
143,1692.79,979.348,-0.038624,-2.20059,-0.0179488,-0.00279648
144,1692.61,979.081,-0.0338138,-2.20023,-0.0191927,0.000237695
145,1692.48,978.942,-0.0391338,-2.20009,-0.0189827,-7.35117e-05
146,1692.35,978.782,-0.0352408,-2.19979,-0.0208618,0.0005987
147,1692.2,978.57,-0.0336743,-2.1993,-0.0205254,-0.00162637
148,1692.08,978.411,-0.0426671,-2.19894,-0.0203099,-0.00246712
149,1691.95,978.217,-0.0346562,-2.19829,-0.0198277,-0.0015716
150,1691.8,978.03,-0.0294787,-2.19765,-0.0199117,-0.00185235
151,1691.6,977.762,-0.0287748,-2.19617,-0.0197293,-0.0028183
152,1691.53,977.668,-0.0242603,-2.19556,-0.0194188,-0.000979375
153,1691.3,977.3,-0.0179315,-2.19441,-0.021373,0.00131192
154,1691.07,977.004,-0.0317245,-2.19392,-0.0202099,0.00143403
155,1691.02,976.939,-0.035407,-2.19195,-0.0209065,0.001672
156,1690.89,976.767,-0.0594444,-2.19106,-0.0169332,0.00361216
157,1690.74,976.487,-0.0581504,-2.18988,-0.0146555,0.00592157
158,1690.59,976.293,-0.0286688,-2.18876,-0.0145709,0.00168282
159,1690.53,976.254,-0.0330065,-2.18559,-0.0144376,0.00131098
160,1690.31,975.943,-0.0304731,-2.18436,-0.0149533,0.00127063
161,1690.23,975.879,-0.0387141,-2.18189,-0.015026,-0.0016316
162,1690.06,975.672,-0.0308074,-2.18085,-0.0162869,-0.00309303
163,1689.98,975.563,-0.0298421,-2.17899,-0.0158026,-0.0026192
164,1689.75,975.259,0.00557879,-2.17752,-0.0165018,-0.00442423
165,1689.64,975.122,0.00490589,-2.17502,-0.0166674,-0.00400954
166,1689.46,974.881,0.0139638,-2.17299,-0.016219,-0.00356886
167,1689.34,974.662,0.0116965,-2.17078,-0.0194986,-0.000518117
168,1689.2,974.473,0.0201975,-2.16928,-0.0192695,-0.00209688
169,1689.09,974.284,0.00877138,-2.1674,-0.0204879,-0.000248049
170,1688.98,974.112,0.00340009,-2.16579,-0.0224282,0.000255864
171,1688.84,973.883,-0.0075318,-2.16301,-0.0227691,0.000701025
172,1688.7,973.698,-0.00255707,-2.16135,-0.0218855,0.000920687
173,1688.58,973.517,0.0106847,-2.15855,-0.0180155,-0.0005839
174,1688.46,973.343,0.0174231,-2.15675,-0.0160641,-7.96075e-05
175,1688.21,973.046,0.0194005,-2.15445,-0.0118361,-0.00890893
176,1688.09,972.906,0.0357418,-2.153,-0.0133622,-0.00828376
177,1687.99,972.76,0.0404526,-2.14971,-0.0133373,-0.00909678
178,1687.86,972.576,0.027959,-2.14908,-0.0152583,-0.00772847
179,1687.68,972.286,0.0331556,-2.14792,-0.0160308,-0.00751578
180,1687.55,972.086,0.0267562,-2.14703,-0.0193495,-0.00709804
181,1687.4,971.853,0.0243427,-2.14612,-0.018268,-0.00885918
182,1687.31,971.713,0.0229612,-2.14379,-0.0180667,-0.00913251
183,1687.19,971.527,0.0267465,-2.14144,-0.0188679,-0.00912561
184,1687.05,971.309,0.0256653,-2.14084,-0.0179452,-0.00979574
185,1686.94,971.16,0.0306137,-2.139,-0.0164013,-0.0102973
186,1686.8,970.921,0.0330286,-2.13964,-0.0184153,-0.00805636
187,1686.69,970.74,0.0472313,-2.13702,-0.0196615,-0.00675637
188,1686.57,970.561,0.0920355,-2.13659,-0.0247323,-0.004541
189,1686.44,970.379,0.0898148,-2.13461,-0.0247053,-0.00449453
190,1686.34,970.219,0.0982538,-2.13321,-0.0246594,-0.00474125
191,1686.22,970.034,0.0992015,-2.13192,-0.0252031,-0.00499136
192,1686.13,969.899,0.0754766,-2.13048,-0.0233541,-0.0052678
193,1685.98,969.674,0.0810256,-2.13049,-0.0233897,-0.00625869
194,1685.89,969.523,0.0980499,-2.12941,-0.0232522,-0.00726037
195,1685.77,969.359,0.116543,-2.12756,-0.0236504,-0.00817074
196,1685.67,969.191,0.128035,-2.12707,-0.0248484,-0.00781323
197,1685.56,969.028,0.129432,-2.12531,-0.0237586,-0.00720863
198,1685.45,968.849,0.12448,-2.12538,-0.0236325,-0.0082257
199,1685.37,968.704,0.116273,-2.12285,-0.023749,-0.00800881
200,1685.25,968.518,0.111466,-2.12268,-0.0239771,-0.00737375
201,1685.14,968.367,0.107921,-2.12079,-0.0229528,-0.00799875
202,1685.03,968.181,0.0838427,-2.12071,-0.0209682,-0.00930269
203,1684.92,968.003,0.1185,-2.11859,-0.024627,-0.00715101
204,1684.83,967.846,0.106394,-2.11773,-0.0226248,-0.00752197
205,1684.7,967.657,0.105788,-2.11661,-0.0229525,-0.00729887
206,1684.6,967.487,0.0751729,-2.11691,-0.0212486,-0.00906215
207,1684.5,967.333,0.0871742,-2.11429,-0.0193598,-0.0105044
208,1684.39,967.14,0.0846948,-2.11453,-0.0196757,-0.010268
209,1684.28,966.967,0.0891059,-2.11212,-0.0206209,-0.00944145
210,1684.19,966.818,0.0537806,-2.11049,-0.0192877,-0.0070195
211,1684.08,966.651,0.026776,-2.10817,-0.0151315,-0.00958947
212,1683.95,966.426,0.0411792,-2.10862,-0.0184647,-0.00739147
213,1683.83,966.233,0.0459424,-2.1069,-0.0200976,-0.00682384
214,1683.71,966.047,0.0476625,-2.1064,-0.020607,-0.00671813
215,1683.6,965.853,0.0775901,-2.10562,-0.0222511,-0.00734009
216,1683.49,965.668,0.0815417,-2.1048,-0.0249701,-0.00710793
217,1683.37,965.469,0.109004,-2.10323,-0.0270765,-0.00624718
218,1683.27,965.328,0.136369,-2.10163,-0.0273695,-0.00731752
219,1683.15,965.133,0.142604,-2.10007,-0.0273686,-0.00767582
220,1683.05,964.943,0.144515,-2.09797,-0.0272717,-0.00757082
221,1682.78,964.474,0.0976289,-2.11305,-0.0299066,-0.0121043
222,1682.66,964.271,0.0969561,-2.11259,-0.0307313,-0.0115107
223,1682.56,964.1,0.10023,-2.10999,-0.0292821,-0.0127146
224,1682.42,963.88,0.0915269,-2.11064,-0.0298243,-0.0113881
225,1682.3,963.66,0.11416,-2.10841,-0.0306019,-0.0106547
226,1682.18,963.454,0.102315,-2.10849,-0.0296021,-0.0104357
227,1682.04,963.252,0.109284,-2.10813,-0.0287346,-0.0125794
228,1681.92,963.045,0.0911981,-2.10694,-0.0283383,-0.0130728
229,1681.79,962.836,0.104433,-2.10605,-0.0287046,-0.0131634
230,1681.65,962.587,0.117905,-2.10686,-0.0292272,-0.0120092
231,1681.5,962.357,0.126633,-2.10615,-0.0288148,-0.0114648
232,1681.38,962.158,0.130626,-2.10512,-0.028454,-0.0124051
233,1681.23,961.911,0.129103,-2.10529,-0.0274265,-0.0123034
234,1681.08,961.671,0.114372,-2.10584,-0.0274708,-0.0113423
235,1680.94,961.428,0.124875,-2.10511,-0.0275726,-0.0122917
236,1680.8,961.205,0.128919,-2.10551,-0.0292179,-0.0110486
237,1680.65,960.942,0.1215,-2.10516,-0.029531,-0.0105909
238,1680.53,960.718,0.129382,-2.10404,-0.0296266,-0.00899862
239,1680.37,960.462,0.110934,-2.10534,-0.0295552,-0.00860852
240,1680.25,960.251,0.109252,-2.10582,-0.0279454,-0.00813483
241,1680.09,959.986,0.104193,-2.10648,-0.0290307,-0.00682923
242,1679.94,959.722,0.093329,-2.10678,-0.0284783,-0.00930994
243,1679.83,959.462,0.0927886,-2.10628,-0.0272683,-0.00769649
244,1679.69,959.223,0.111539,-2.10774,-0.0279212,-0.00391028
245,1679.52,958.943,0.0677821,-2.10979,-0.0238981,-0.00262065
246,1679.38,958.729,-0.00981712,-2.11049,-0.0179137,-0.00307427
247,1679.21,958.539,0.0331544,-2.11081,-0.00890384,-0.0141972
248,1679.07,958.304,0.0335058,-2.11019,-0.00966062,-0.0168039
249,1678.91,958.062,0.0424776,-2.11098,-0.00988096,-0.0179879
250,1678.77,957.818,0.0540853,-2.11249,-0.0118621,-0.0158924
251,1678.65,957.632,0.054862,-2.1134,-0.0130218,-0.0137446
252,1678.54,957.454,0.0798807,-2.11398,-0.0169013,-0.0130324
253,1678.37,957.162,0.193011,-2.11537,-0.0338332,-0.00787373
254,1678.22,956.958,0.175616,-2.11599,-0.0325593,-0.00463731
255,1678.11,956.732,0.135674,-2.11611,-0.0308006,-0.0026262
256,1677.95,956.469,0.116587,-2.11742,-0.0309289,-0.000882166
257,1677.8,956.251,0.12473,-2.11848,-0.0312594,-0.00309129
258,1677.65,956.011,0.129358,-2.12123,-0.0299399,-0.00662727
259,1677.54,955.759,0.10731,-2.12316,-0.0285758,-0.00610763
260,1677.4,955.546,0.113644,-2.12334,-0.0281128,-0.00451297
261,1677.24,955.287,0.116863,-2.12388,-0.0292916,-0.00281507
262,1677.1,955.048,0.110597,-2.12274,-0.0283864,-0.00117267
263,1676.88,954.815,0.225737,-2.12375,-0.0265515,-0.0190021
264,1676.72,954.582,0.216744,-2.12496,-0.0243827,-0.0202193
265,1676.57,954.378,0.246193,-2.126,-0.0274568,-0.0182859
266,1676.44,954.158,0.262784,-2.12589,-0.0263354,-0.0146889
267,1676.31,953.946,0.254901,-2.12604,-0.0259812,-0.0130035
268,1676.14,953.683,0.294546,-2.12667,-0.0300554,-0.0150417
269,1676.03,953.468,0.260133,-2.12656,-0.0257956,-0.0177514
270,1675.9,953.283,0.243928,-2.12694,-0.0264324,-0.0175176
271,1675.78,953.071,0.286543,-2.12631,-0.0254721,-0.0149685
272,1675.61,952.835,0.275429,-2.12701,-0.0244387,-0.0136999
273,1675.45,952.604,0.292783,-2.12746,-0.026165,-0.0139941
274,1675.31,952.371,0.297976,-2.1265,-0.0271179,-0.0149593
275,1675.16,952.119,0.291272,-2.12662,-0.0270592,-0.0129878
276,1675.01,951.916,0.262035,-2.12631,-0.0257283,-0.0135152
277,1674.88,951.693,0.263715,-2.12483,-0.0264609,-0.0111773
278,1674.73,951.473,0.292815,-2.12402,-0.0269235,-0.0112724
279,1674.58,951.214,0.273515,-2.12079,-0.0255401,-0.011391
280,1674.42,950.986,0.274505,-2.11901,-0.0259319,-0.0118497
281,1674.29,950.739,0.235228,-2.11519,-0.0253095,-0.0102954
282,1674.16,950.531,0.247228,-2.11166,-0.0240744,-0.0111357
283,1674,950.266,0.258367,-2.10503,-0.0245607,-0.0112188
284,1673.87,950.056,0.258061,-2.09979,-0.0242834,-0.011369
285,1673.72,949.781,0.252495,-2.09277,-0.0240995,-0.0103793
286,1673.58,949.521,0.24192,-2.08626,-0.0235488,-0.00881043
287,1673.45,949.311,0.234448,-2.07642,-0.0233429,-0.0093651
288,1673.32,949.075,0.148967,-2.07001,-0.0160351,-0.00764223
289,1673.18,948.825,0.131296,-2.05997,-0.0179654,-0.00507749
290,1673.07,948.612,0.117245,-2.0526,-0.0167679,-0.0051938
291,1672.91,948.352,0.220395,-2.03911,-0.0227231,-0.00892346
292,1672.79,948.141,0.247215,-2.0318,-0.0261875,-0.0101505
293,1672.7,947.893,0.245587,-2.01916,-0.0280583,-0.0087316
294,1672.56,947.659,0.251239,-2.00867,-0.0239463,-0.0189519
295,1672.44,947.409,0.266947,-1.9942,-0.0230617,-0.0206529
296,1672.33,947.189,0.261045,-1.9841,-0.0227781,-0.020819
297,1672.22,946.921,0.271446,-1.97148,-0.0220381,-0.0203679
298,1672.08,946.638,0.260664,-1.95759,-0.0176387,-0.0147305
299,1672,946.432,0.249651,-1.94213,-0.0164559,-0.0150463
300,1671.88,946.14,0.281502,-1.93017,-0.0168539,-0.0118005
301,1671.79,945.857,0.262105,-1.91376,-0.0167288,-0.0117483
302,1671.68,945.617,0.245144,-1.90269,-0.0178648,-0.010616
303,1671.58,945.309,0.257119,-1.88416,-0.0191581,-0.0103518
304,1671.49,945.062,0.264378,-1.87229,-0.0225739,-0.00975292
305,1671.41,944.809,0.281761,-1.85278,-0.0211596,-0.0104006
306,1671.33,944.556,0.274666,-1.83977,-0.0216292,-0.0106256
307,1671.25,944.237,0.267327,-1.81887,-0.0216715,-0.0102386
308,1671.18,944.008,0.26835,-1.80794,-0.0216932,-0.00923289
309,1671.11,943.666,0.277979,-1.78731,-0.0250057,-0.00631889
310,1671.06,943.44,0.283874,-1.77451,-0.0228248,-0.00624716
311,1671,943.149,0.310021,-1.75248,-0.0183195,-0.00376344
312,1670.95,942.898,0.296718,-1.73976,-0.0180224,-0.00248514
313,1670.91,942.592,0.299327,-1.7185,-0.0177246,-0.00196505
314,1670.84,942.339,0.294692,-1.70591,-0.017946,-0.00219541
315,1670.84,942.068,0.291192,-1.68626,-0.0189053,-0.000112128
316,1670.77,941.795,0.265543,-1.67218,-0.0194809,0.000188734
317,1670.75,941.529,0.305492,-1.65003,-0.0187186,-0.0021786
318,1670.71,941.251,0.281223,-1.63613,-0.0187781,-0.00291189
319,1670.7,940.965,0.287069,-1.61404,-0.0184569,-0.000468068
320,1670.68,940.686,0.281882,-1.60044,-0.0184929,0.000428356
321,1670.68,940.381,0.292289,-1.58006,-0.0190351,0.000819112
322,1670.67,940.115,0.28528,-1.56586,-0.017369,0.000260717
323,1670.67,939.815,0.259126,-1.54481,-0.0150804,-0.00106899
324,1670.65,939.524,0.207125,-1.53113,-0.0105613,-0.00495964
325,1670.67,939.243,0.220978,-1.50968,-0.00965853,-0.00725722
326,1670.64,938.962,0.315395,-1.49558,-0.0140439,-0.0176117
327,1670.66,938.719,0.373187,-1.4739,-0.0170399,-0.0237601
328,1670.69,938.475,0.378193,-1.46135,-0.0171269,-0.0216162
329,1670.73,938.164,0.381396,-1.43809,-0.0159095,-0.0170759
330,1670.72,937.86,0.346295,-1.42362,-0.0141721,-0.0145136
331,1670.79,937.571,0.356038,-1.40163,-0.0145814,-0.0132064
332,1670.81,937.334,0.331923,-1.39012,-0.0136131,-0.0137203
333,1670.87,936.99,0.309676,-1.36654,-0.0129648,-0.013777
334,1670.91,936.737,0.327245,-1.35671,-0.0141982,-0.0135882
335,1670.99,936.48,0.290104,-1.33617,-0.0127687,-0.00781001
336,1671.07,936.19,0.269033,-1.3218,-0.0134303,-0.00130666
337,1671.14,935.936,0.287448,-1.30116,-0.0140432,-0.00123122
338,1671.19,935.681,0.28878,-1.28747,-0.015027,-0.00575284
339,1671.27,935.414,0.290637,-1.26562,-0.0156394,-0.00639456
340,1671.31,935.137,0.366726,-1.25331,-0.0192181,-0.00838013
341,1671.45,934.852,0.401094,-1.23209,-0.021062,-0.00400343
342,1671.52,934.582,0.419762,-1.22071,-0.0215153,-0.00448555
343,1671.62,934.322,0.409089,-1.20109,-0.020429,-0.00259889
344,1671.69,934.048,0.390767,-1.18834,-0.0240248,0.00265666
345,1671.81,933.765,0.369207,-1.16729,-0.0240059,0.00175922
346,1671.91,933.515,0.375089,-1.15459,-0.0254716,0.00203016
347,1672.02,933.293,0.417612,-1.13621,-0.0239121,-0.00107375
348,1672.13,933.042,0.404644,-1.12492,-0.0244751,-0.000211099
349,1672.3,932.772,0.388314,-1.10479,-0.025281,0.00311466
350,1672.39,932.523,0.504858,-1.09062,-0.0259333,-0.00407605
351,1672.5,932.247,0.486129,-1.07326,-0.0267622,-0.00683996
352,1672.64,932.007,0.449828,-1.05667,-0.02596,-0.00614815
353,1672.77,931.763,0.437992,-1.0375,-0.0252983,-0.0068102
354,1672.9,931.519,0.476771,-1.02611,-0.0268254,-0.00454092
355,1673.06,931.268,0.489552,-1.00716,-0.0277181,-0.00545313
356,1673.17,931.046,0.510341,-0.997314,-0.0271113,-0.00634418
357,1673.35,930.83,0.496324,-0.977761,-0.0276778,-0.00547473
358,1673.49,930.602,0.459956,-0.965473,-0.0255099,-0.00801137
359,1673.61,930.375,0.427695,-0.946599,-0.0211138,-0.0169493
360,1673.79,930.148,0.359933,-0.936957,-0.019097,-0.0168865
361,1673.96,929.887,0.476678,-0.920341,-0.0208659,-0.0208987
362,1674.1,929.689,0.45377,-0.909556,-0.0198054,-0.0203876
363,1674.28,929.461,0.499034,-0.89483,-0.0217265,-0.0207697
364,1674.43,929.264,0.52419,-0.882004,-0.0210685,-0.0225249
365,1674.65,929.043,0.539699,-0.865415,-0.0208637,-0.0235057
366,1674.8,928.846,0.52377,-0.855334,-0.0206715,-0.0235174
367,1675.01,928.629,0.52992,-0.840909,-0.0201596,-0.0239189
368,1675.15,928.469,0.531143,-0.833053,-0.019813,-0.024261
369,1675.38,928.245,0.569465,-0.82033,-0.0201638,-0.0265332
370,1675.55,928.041,0.556838,-0.813443,-0.0189694,-0.0274713
371,1675.73,927.855,0.560617,-0.8014,-0.0185211,-0.0277076
372,1675.9,927.646,0.600902,-0.7941,-0.018163,-0.0305208
373,1676.08,927.492,0.584827,-0.783088,-0.0182654,-0.0299116
374,1676.27,927.231,0.64488,-0.77427,-0.014378,-0.0337964
375,1676.46,927.052,0.600051,-0.76371,-0.0139707,-0.0327727
376,1676.64,926.855,0.608461,-0.7589,-0.0126792,-0.0327307
377,1676.82,926.698,0.600901,-0.749821,-0.0116959,-0.0315017
378,1677.08,926.453,0.593689,-0.744521,-0.0130123,-0.0296887
379,1677.32,926.272,0.621858,-0.735027,-0.0124408,-0.030087
380,1677.5,926.096,0.642456,-0.729649,-0.0124973,-0.029403
381,1677.68,925.926,0.641142,-0.721552,-0.0121832,-0.0293121
382,1677.88,925.742,0.606512,-0.717164,-0.0127636,-0.029538
